text,R
"Хочу в Абхазию, чтобы отель были видны горы и море, на первой линии. Говорят что есть отели все включено",4.0
"смотрим терклюр, в общем нам нужен хороший пляж. и не дорого, 1 линия не обязательна, важно хороший пляж, горки в бассейне, можно 4*. и чтобы за пределами отеля была инфраструктура",4.0
"Примерно с 6 сентября на на 7-9 ночей, море в шаговой доступности, номер с водой, туалетом и кондиционером. Бюджет скромный",3.5
"7 ночей. Бюджет 100 000. Пожелания по отелю: хочется чтобы был чистый, относительно новый и место расположение удобное. Завтрак включён.",4.5
"Хотим с дочкой в Турцию, на конец июля(26-28) или август (7). Очень хорошая 3, хорошая 4, бюджетная 5. Главное- близко песчаный пляж и все включено. На 6-8 дней. Можно из Нска. Бюджет 100 +- 10000.",4.0
"Здравствуйте. Мы бы хотели подобрать тур у вас. Хотим море, пляжный тур, нас двое (без детей). Нужно экономично, минимальные затраты(до 60). Но чтобы обязательно было море, спасибо)))",3.5
"Добрый день! Ищем пляжный отдых для матери с ребенком (13), отель не ниже 4, чтобы был пляж и трансфер из аэропорта. Не особо дорого",4.2
"Хотим нормальную пятерку, первая линия, чтобы был красивый пейзаж. двое взрослых + маленький ребенок 5 лет. По стоимости до 100. Что посоветуете?",4.2
"Здравствуйте, выбрали Грецию. 2 семьи(2 взрослых и 1 подруга семьи и ее ребенок). Хотим у вас взять трансфер и авто на прокат. Номера разные (только на разных этажах). Что можете предложить нам?",4.2
"Привет, ищу качественный отель категории 3* недалеко от пляжа, 11 дней с конца июня. В Египте и Турции была неоднократно, эти страны не интересуют. Не особо чтобы дорого, но готова потратить до 95000.",4.4
"Пляж песок, первая линия, чтобы детям было хорошо, не ниже 4*",4.2
"Нужно чтобы было рядом где погулять,  не ниже 4*, питание все включено",4.5
"Отель семейный. Детские горки чтобы были, на пляже чтобы было питание. чтобы все было бесплатно",4.4
"Мне не нужно все включено, важно чтобы было где вечерами гулять и можно было ездить на экскурсии, отель хороший, чтобы было чисто",4.0
"Отель нужен новый или чтобы ремонт был в прошлом году. Большая территория, бассейны, ультра все включено, импортный алкоголь, детей поменьше",4.7
"Мне нужно туда. Чтобы было поменьше русских, отель лучше бунгало, первая линия. Питание не обязательно, только завтраки",4.5
"Нужно чтобы отель был недалеко от аэропорта. Чтобы был песчаный вход, чтобы детское питание было, детская кроватка, чтобы номера были 2-х комнатные, у нас семья 4 человека с младенцем. Детские горки в отеле для старшего и штобы был детский клую. Нужно очень хорошее питание.",4.6
"Нам нужен отель хорошего уровня, питание с импортным алкоголем, в центре города",4.7
"2 взрослых, 12-16 июля Горный, на берегу,лесистая территория, домик,отдельный вход, не дальше Берели, авто стоянка",4.0
"3взрослых +1 ребенок (9), Горный 29.07-01.08, хорошая база,бассейн",4.4
"Привет, только вырвались в отпуск, план такой: Турция 7 июля на 10-11 дн, 2 взрослых ,хороший песчаный заход, активно,анимация, бар на пляже",4.4
"Добрый вечер, ищем тур,вылет 10-12 июля или 15-17 июля на неделю, 2 взр, Турция,Кипр,ОАЭ,Египет",4.0
"Семья 2+1 ребенок(11), Турция , Район Авсалар,Инджекум,Тюрклер, 4-5*, 1 линия, песочный заход",4.3
"Здравствуйте, нас интересует море, заграница. Период с 15.07 до 25.08. Количество ночей от 10. Бюджет до 170000. 2взр и 2 ребенка (5 и 7 лет). Какие могут быть варианты?",4.0
"Отель в Турции 4-5*с песчаным пляжем ,работающий по системе AI с кухней в номере . Едет семья с двумя детками,родители и старший ребенок хотят питаться по системе ""все включено"",младший ребенок находится на специализированном питании",4.6
"С 1 по 5,7 сент, 2+4(12,10 и 2 по года), пляжно, бюджетно, недалеко лететь",3.5
"Здравствуйте! Посоветуйте,,, какие отели посмотреть на Протарасе и Айя Напе? Куда отправляете туристов? 3-4*.  Пятерки, наверное, под полмиллиона?  И что с Грецией? Открыли? Там шенген надо делать.. в Новосибирске?",4.0
"Кипр на 20-22 июля в хороший отель в районе мисси бич, 2-е взрослых+2(4,13), Отель 3+ или 4-,  питание всё включено,хороший отель.",4.5
"2 взр с 14.06 до 02.07 даты вылета, на 10 ночей тунис, или кипр, 1, 2 линия в предела 120 на двоих",4.3
"Здравствуйте. 3 взрослых. Лучше из Москвы. У нас там дочь. Не обязательно Турция. Нужно море теплое Хороший отель. Не обязательно все включено Дней 10",4.0
"Мы с женой хотим отдохнуть в Белеке, в хорошем отеле на берегу. Номер должен быть обязательно с видом на море. Анимация не нужна, хороший алкоголь приветствуется. Что Вы можете предложить?",4.7
"Два взрослых и ребенок 3 года. Хотим отель на берегу с собственным песчаным пляжем. Важно, чтобы были диетические блюда для ребенка, wifi в номере. Что Вы можете предложить?",4.6
"Нам нужны море, солнце и песок. От отеля - минимальные требования. В основном будем ездить на экскурсии.",3.5
"Приветики! Я хотела бы поехать куда то на море с мужем и сыном. Ну сын маленький-7 лет ему надо чтобы был ну бассейн там аниматоры что то такое. Мужу надо шведский стол и бар. Слышала что в Таиланде не очень сейчас, может Вьетнам? Что можешь пообрать?",4.3
"а вы же за рубеж туры продаете? Мы просто ищем что-нибуь не сильно дорогое, около 150 на семью из 3 человек. Хотим куда то где море, может в азию. Там же чистый пляж? если да, то тогда подберите нам чего то",4.0
"Здравствуйте, мы с женой хотели бы полететь в Турцию, Анталия. По отелю следующее: первая линия, чистый пляж, не на 1 этаже номер:))), шведский стол и чтобы не шумно. Бюджет около ста. Спасибо",4.0
"Добрый вечер. Примеррно с августа (в 20х числах), море чтобы в шаговой доступности, вайфай в номере и завтраки.",4.5
"Здравствуйте. Мы бы хотели подобрать тур у вас. Хотим море, не сильно жарко, экскурсии. минимальные затраты(до 60). Нас двое, спасибо:)",3.5
"Добрый день! Ищем пляжный отдых для пары, отель не ниже 4, трансфер из аэропорта. Не особо дорого, около 50-70.",4.0
"Нам нужен отель хорошего уровня, питание с импортным алкоголем, в центре города",4.7
"2 взрослых, с 12 августа на берегу, чисто пляжный отдых без экскурсий. Бюджет около 120.",4.0
"двое взрослых плюс ребенок 7 лет , Анталия, все включено",4.2
"Здравствуйтете. Напишу подробно, чтобы дальше без вопросов. С женой на годовщину хотим поехать в тур по Европе: Бельгия, НИдерланды, Люксембург. Чтобы в каждом городе минимум по 3-4 дня, с гидом, хорошая экскурсия. Отели везде не ниже 4+. Бюджет любой, можем даже арендовать машину",4.0
"ищем с мужем отых на море. Отель самый недорогой, можно 3*. Было бы неплохо если был бы бассейн. Путешествие планируем в конце сентября. Что подскажете?",0.0
"Привет. Хочу на море, но еду одна с ребенком. Отель не ниже 4, ну и важно чтобы было питание для ребенка, в номере кроватка, горшок, етская анимация и бассейн. Бюджет до 100. Трансфер с аэропотра нужен",4.6
"Ну раз Турцию наконец то открыли, решили выбраться с семьей. Едем с мужем и двумя детьми (17 и 10). Муж и дети не любят активный отдых, им нужен шведский стол, море, бассейн, мужу мииниьар. Я бы хотела на экскурсии. Отель все включено не ниже хорошей четверки",4.2
"Примерно на 7-9 ночей, море в шаговой доступности, номер с вайфаем, туалетом и кондиционером. Бюджет скромный.",4.0
"11 ночей. Нас трое взрослых. Бюджет 100 000. Пожелания по отелю:расположение удобное. Завтрак включён.",4.5
"Хотим с дочкой в Турцию, на конец июля(26-28) или август (7). Очень хорошая 3, хорошая 4, бюджетная 5. Главное- близко песчаный пляж и все включено. На 6-8 дней. Можно из Нска. Бюджет 100 +- 10000.",4.2
"Здравствуйте. Мы бы хотели подобрать тур у вас. Хотим море, пляжный тур, нас двое (без детей). Нужно экономично, минимальные затраты(до 60). Но чтобы обязательно было море, спасибо)))",4.0
"2 взр с 10.09 до 14.09 даты вылета,тунис, или кипр, 1, 2 линия. Завтрак включен. Бюджет 100+-20",4.5
"Здравствуйте. 3 взрослых. Лучше из Новосибирска.Не обязательно Турция. Нужно море теплое. Не обязательно все включено.",4.5
"Хотим на сафари. Погода чтобы была нормальная и отлель чистый. что посоветуете?",4.0
"ДОбрый вечер! Хотим в Испанию с мужем и дочкой 3 года. Совместить пляжный отдых и экскурсии. Слышала про салоу, но там наверное дорогие отели? Можно же ареновать машину или как то по другому потом доехать до барселоны. Еще хотели бы посетить порт авентуру. Подскажите по ценам?",4.0
"Хотим нормальную четверку, первая линия, чтобы был красивый пейзаж. двое взрослых По стоимости до 100. Что посоветуете?",4.0
"Здравствуйте, выбрали Грецию. 2 взрослых. Хотим у вас взять трансфер. Номер боьлшой, чистый. Что можете предложить нам?",4.4
"Здравствуйте. Это турагенство? Хочу дояери сделать подарок на окончание школы-поездку в Италию. Рассматриваю Рим, Милан. 7-9 ней, отель в центре, не ниже 4. Чтобы были только завтраки. Найдете варианты?",4.5
"Хотим отдых на 3 семьи На Кипре или в Турции. 6 взрослых и 2 ребенка. Нужно 3 отдельных номера, для детей детские зоны, анимация. Отель 5 звезд",4.4
"Здравствуйте. Ищем где пополярно, песочек и чтобы для ребенка все было:еда анимация горки. И чтобы поближе к пляжу, можно было дойти пешком. Два человека и 1 ребенок 6 лет.",4.6
"Доброго времени суток. Интересует Хайнань, слышал от друзей что им там понравилось семьей. Едем с женой, ищем отель в первой линии. Бюджет до 70.",4.0
"Здравствуйте мне нужен отель для двух молодых людей. Едем на море. Ищем все включено, дискотеки и чтобы рядом был город.",4.5
"Ищем отдых ОАЭ, Турция, Тунис, Египет. Период с 10 сентяря до 25 сентября. Количество ночей от 10. Бюджет до 180000. 2взр и 2 ребенка.",4.0
"Едем первый раз. Нужно чтобы было неорого: рядом пляж. Чтобы было хорошо и где погулять. Чтобы не в пустыне отель стоял. Нас двое взрослых. По цене ну средненько.",3.5
"Здравствуйте. Ищем ну что нибудь популярное такое и недорого. Ну вот вы куда бы сами поехали?",3.5
"№ раза уже отдыхали в отеле адамс бич на кипре. В этом году у нас двое взрослых и ребенок 17 лет. Адамс бич дорого стоит, вот что нибудь такое только подешевле?",4.0
"Нас трое. У нас есть 150 тысяч рублей. Куда можно поехать без тестов и вакцин в близжайшее время по  горящей путевке.",4.0
"Добрый вечер. Расскажите куда можно поехать семье с детьми. Какие направления открыты? 2 взр и 2 ребенка",4.0
"Нас три семьи. Первая 2 взрослых и двое детей. Вторая двое взрослых и 1 ребенок и третья семья 2 взрослых. Это мы взрослых детей хотим от себя отселить. Нам нужно на море на 2 недели и чтобы мы могли уместиться в 200 тысяч.",4.0
"Мы можем хоть когда, к датам особо не привязаны. Хотим по горящей путевке съездить. Вы можете нам позвонить-у нас чемоданы собраны и мы можем сразу лететь из барнаула. А сколько сейчас горящие путевки стоят?",4.0
"У нас семья: ребенок 7 лет и второй ребенок о года. У нас у мужа с 15 августа отпуск, мы можем на 10-9 дней полетель на море. Отель особо не важен, главное чтобы были завтраки и бассейн в отеле. ",4.5
"2 семейные пары. У нас с 10 отпуск дней на 7. Хотим море и чистый пляж. Чтобы были зонты и лежаки бесплатные и свой пляж у отеля. Что порекомендуете?",4.3